WINNING CREATURE
atlantahawks 1908.01 189.388
bostonceltics 1767.62 224.873
indianapacers 1747.21 256.762
portlandtrailblazers 1744.58 265.842
miamiheat 1732.93 291.165
charlottehornets 1640.64 270.802
dallasmavericks 1610.21 135.606
utahjazz 1570.85 224.647
memphisgrizzlies 1497.64 278.718
washingtonwizards 1454.12 246.114
houstonrockets 1434.41 276.149
detroitpistons 1401.23 300.067
orlandomagic 1399.14 233.03
chicagobulls 1329.2 254.829
16775.3
WINNING CREATURE
goldenstatewarriors 2442.65 315.197
torontoraptors 2208.22 250.633
sanantoniospurs 2199.01 322.411
clevelandcavaliers 2197.14 272.789
oklahomacitythunder 2014.56 278.289
atlantahawks 1978.13 173.594
losangelesclippers 1975.71 190.785
indianapacers 1833.28 307.471
bostonceltics 1776.89 210.107
miamiheat 1724.92 291.449
portlandtrailblazers 1703.9 321.584
dallasmavericks 1645.74 134.863
charlottehornets 1596.7 264.193
utahjazz 1536.53 166.246
memphisgrizzlies 1494.66 302.622
orlandomagic 1444.01 319.477
washingtonwizards 1425.44 238.033
houstonrockets 1405.54 338.437
detroitpistons 1400.99 277.052
chicagobulls 1345.78 243.852
16766.5
WINNING CREATURE
goldenstatewarriors 2517.48 248.69
clevelandcavaliers 2188.03 229.283
torontoraptors 2128.86 297.406
sanantoniospurs 2116.04 274.02
oklahomacitythunder 2093.28 237.605
losangelesclippers 1980.29 202.939
atlantahawks 1885.87 253.738
indianapacers 1766.51 278.392
miamiheat 1751.45 318.962
portlandtrailblazers 1744.69 289.375
charlottehornets 1744.59 230.937
bostonceltics 1733.81 272.612
utahjazz 1590.29 251.907
dallasmavericks 1537.51 135.818
memphisgrizzlies 1518.73 234.351
washingtonwizards 1516.97 187.351
orlandomagic 1438.42 281.185
detroitpistons 1407.14 292.186
houstonrockets 1401.31 291.159
chicagobulls 1315.69 281.952
16770.8
WINNING CREATURE
goldenstatewarriors 2332.67 272.301
sanantoniospurs 2221.99 330.694
clevelandcavaliers 2115.97 273.849
oklahomacitythunder 2093.87 226.662
losangelesclippers 2053.45 134.985
torontoraptors 2018.06 293.303
atlantahawks 1885.2 234.692
portlandtrailblazers 1765.15 278.861
miamiheat 1755.8 287.842
indianapacers 1734.35 262.234
dallasmavericks 1683.02 113.632
bostonceltics 1682.24 259.343
charlottehornets 1681.95 300.886
utahjazz 1585.71 230.964
washingtonwizards 1501.28 167.971
memphisgrizzlies 1477.02 233.247
houstonrockets 1455.99 184.886
orlandomagic 1423.66 273.82
detroitpistons 1418.67 272.149
chicagobulls 1297.81 286.62
16787.2
WINNING CREATURE
goldenstatewarriors 2472.82 252.341
clevelandcavaliers 2146.71 226.422
sanantoniospurs 2137.3 265.643
oklahomacitythunder 2058.35 245.013
torontoraptors 2024.09 343.053
losangelesclippers 1925.88 215.7
atlantahawks 1912.12 182.684
bostonceltics 1777.57 221.296
miamiheat 1747.2 305.176
portlandtrailblazers 1738.82 259.899
indianapacers 1731.16 354.424
charlottehornets 1678.79 278.848
dallasmavericks 1567.46 147.741
utahjazz 1541.84 218.362
memphisgrizzlies 1486.61 256.517
houstonrockets 1471.5 233.104
washingtonwizards 1460.61 235.557
orlandomagic 1448.43 319.843
detroitpistons 1401.49 272.112
chicagobulls 1354.07 301.524
16779.1
WINNING CREATURE
goldenstatewarriors 2545.97 262.06
sanantoniospurs 2134.42 267.814
torontoraptors 2106.84 264.259
oklahomacitythunder 2091.75 206.244
clevelandcavaliers 2073.01 258.69
losangelesclippers 1981.59 194.66
atlantahawks 1925.62 246.643
indianapacers 1776.73 315.851
miamiheat 1766.42 281.051
portlandtrailblazers 1734.67 325.393
bostonceltics 1713.02 257.117
charlottehornets 1694.91 244.956
dallasmavericks 1579.74 205.063
utahjazz 1548.91 217.265
memphisgrizzlies 1501.95 234.186
washingtonwizards 1472.87 220.065
orlandomagic 1464.39 252.305
detroitpistons 1431.66 343.701
chicagobulls 1363.29 266.933
houstonrockets 1355.99 233.504
16771.9
WINNING CREATURE
goldenstatewarriors 2387.74 341.987
sanantoniospurs 2242.01 253.383
torontoraptors 2199.63 244.816
clevelandcavaliers 2074.09 272.75
oklahomacitythunder 2073.69 255.368
losangelesclippers 1967.78 157.924
atlantahawks 1951.15 226.575
indianapacers 1862.2 221.118
